adapt,合適, 動
adopt,採用、合適, 動
adult,成年人, 名
advise, 勤告, 動
advice, 勤告, 名
adverb, 副詞, 名
alive, 活著, 形容
live, 生活, 動
aborad, 國外, 副
alike, 相似, 形容
like, 喜歡, 名
ashore, 岸邊, 副
ahead, 向前、事前, 副
head, 頭, 名
aloud, 大聲地、出聲地, 副
loud, 很大聲, 形容
obstacle, 障礙、阻礙, 名
obstruct, 阻塞、阻擋,動
structure, 結構, 名
occasion, 時刻, 名
occident, 西方社會、（尤指）歐美國家, 名
offend, 冒犯，得罪, 動
opportunity, 機會, 名
port, 港口, 名
income, 收入, 名
indoors, 室內,副
initial, 初次、第一次,名
inland, 內陸,形
insight, 洞察力,名
sight,視野,名
implant, 灌輸、移植,動
plant, 植物,名
enlarge,擴大,動
large,巨大,形容
enjoy, 享受 ,動
joy, 開心 ,名
enrich, 變得富裕、充實, 動
employ, 僱用, 動
employment, 受僱, 名
employer,僱主,名