atom,原子,名詞,A,不可,none,Scientists are working to harness the power of the atom.,none
Atomic,原子的,形容詞,A,不可,none,atomic energy/power,none
Apathy,無興趣,名詞,A,不可,app 抓 free,Widespread apathy among students,none
path,路徑,名詞,A,none,none,This is the path to a garden path.,none
Apathetic,不關心的，無動於衷的,形容詞,A,不可、不可,At pa fa take,Young people today are so apathetic about politics.,none
Asymmetry,非對稱,名詞,A,不可、不可,none,The brain scan showed a hemispheric asymmetry.,Some people find the asymmetry of the building disorientating.
Symmetry,對稱,名詞,A,不可、不可,none,The design of the house had a pleasing symmetry..,none
amoral,不分是非的、欠缺道德,形容詞,A,不可、不可,none,Business is an amoral activity focused coldly on success.,none
moral,道德的,形容詞,A,none,漠 ro~,She's a very moral woman.,none
abnormal,異常的,形容詞,Ab,ab (從~離開) + normal (正常的) -離開正常狀態,none,none,none
absent,缺席的,形容詞,Ab,a (不是~)+ tom (切割)十 ic (的) -再也無法進 行切割的,none,none,none
absence,不在,名詞,Ab,a (不是~) + path (威覺) +y (狀態) -沒有威受到,none,none,none
aboriginal,原住民的,形容詞,Ab,a (不是) + path (感覺)+ tic (的) -沒有感覺的,none,none,none
abundant,豐富的,形容詞,Ab,a (不是~)+sym( 相同) + metry (測量)一測量後 發現左右不一致,none,none,none
abuse,濫用、虐待,動詞,Ab,a (不是～) + moral (道德的) -非道德的,none,none,none
deform,變形,形容詞,De,de (離開)十 form (形狀)曰國 一離開原有的形狀,none,none,none
demerit,缺點、短虞,形容詞,De,de (離開) + merit (優點) -離開優點,none,none,none
defrost,解凍,形容詞,De,de (離開)十 frost (霜) 一從霜離開,none,none,none
defend,保護、辯護,形容詞,De,de (離開)十 fend (折磨) 一打擊敵人後撤退,none,none,none
declare,宣言、申報,形容詞,De,de (完全地) + clare (=clear  .. 明顯的) 一變得明顯,none,none,none
deposit,放置、存放,動詞,De,de (在下面) + posit (放置)曰璽 -放在下面,none,none,none
Discard,捨棄、丟棄,動詞,Dis,dis (離開) + card (卡片) -將卡片丟棄,none,none,none
Disease,疾病,名詞,Dis,dis (不是~) + ease (輕鬆) 一不輕鬆的狀態,none,none,none
discount,打折,動名詞,Dis,dis (不~)十 count (計算) 一不加以計算,none,none,none
disgust,厭惡,名詞,Dis,dis (不是～) + gust (喜好) -不是喜好,none,none,none
dislike,討厭,動名詞,Dis,dis (不是~) + like (喜歡) -不喜歡,none,none,none
disadvantage,不利,名詞,Dis,dis (不是~) + advantage (好處)~不是好處,none,none,none
informal,非正式的、簡便的,形容詞,In、Im,in (不是) + form (形式)+ al (～的),none,none,none
individual,個人的、個人,形容詞,In、Im,in (不是~) + divide (分開) + al (~ 的),none,none,none
immortal,不死的、不朽的,形容詞,In、Im,im (不是~) + mortal (死)~命不該絕,none,none,none
impolite,失禮的,形容詞,In、Im,im (不是~) + polite (禮貌)~不禮貌的,none,none,none
impossible,不可能的,形容詞,In、Im,im (不是) + possible (可能) -不可能,none,none,none
imperfect,不完整的,形容詞,In、Im,im (不是) + perfect (完美的)~ 不完美,none,none,none